extension,filename.size,action,category,event.desc,event.type,result,netname,tld,size
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",google,763
,0,not blocked,1,Possible DGA - DNS (Response),2308,,"private misc,private dst,other src",,775
,0,not blocked,1,Possible DGA - DNS (Response),2308,,"private misc,private dst,other src",,775
,0,not blocked,1,Possible DGA - DNS (Response),2308,,"private misc,private dst,private src",org,791
,0,not blocked,1,Possible DGA - DNS (Response),2308,,"private misc,private dst,private src",org,791
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,769
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,796
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,798
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,798
,,,2,User logged off,300999,Success,"private misc,private src",,337
jpg,11181056,,2,Sample file sandbox analysis is finished,200119,,private misc,,564
jpg,11181056,,2,Sample file sandbox analysis is finished,200119,,private misc,,569
,,,2,User logged on,300999,Success,"private misc,private src",,336
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,798
,0,not blocked,0,Unsuccessful logon - RDP,2388,,"private misc,private dst,private src",org,776
,,,2,User logged off,300999,Success,"private misc,private src",,337
,0,not blocked,0,Unsuccessful logon - RDP,2388,,"private misc,private dst,private src",org,776
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,774
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,798
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",com,781
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",com,781
,0,not blocked,1,Possible DGA - DNS (Response),2308,,"private misc,private dst,other src",,772
,0,not blocked,1,Possible DGA - DNS (Response),2308,,"private misc,private dst,other src",,772
,0,not blocked,1,Possible DGA - DNS (Response),2308,,"private misc,private dst,private src",org,791
,0,not blocked,1,Possible DGA - DNS (Response),2308,,"private misc,private dst,private src",org,791
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,797
,,,2,"""Component: Spyware&#x2F;Grayware Pattern, version: 2.219.00 on the ActiveUpdate server.""",300102,Success,private misc,,387
,,,2,Updated component Spyware&#x2F;Grayware Pattern,300102,Success,private misc,,347
,,,2,User logged on,300999,Success,"private misc,private src",,336
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",com,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",com,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",com,782
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",com,782
,0,not blocked,0,Successful logon using default Administrator account - RDP,609,,"private misc,private dst,private src",org,814
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,787
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,775
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,770
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,770
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,770
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,,,2,User logged on,300999,Success,"private misc,private src",,336
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,2,Legitimate Service - DNS Response,40,,"private misc,private dst,private src",,753
,,,2,Attempted to save Detection Rules settings.,300999,Success,"private misc,private src",,365
,,,2,All components are up-to-date,300102,Success,private misc,,334
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",,768
fna17268,4099328,,2,Sample file sandbox analysis is finished,200119,,private misc,,568
fna17268,4099328,,2,Sample file sandbox analysis is finished,200119,,private misc,,573
,,,2,Attempted to save Detection Rules settings.,300999,Success,"private misc,private src",,365
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",,772
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",,772
fna17268,4099328,not blocked,2,Executable file dropped in administrative share - SMB,35,,"private misc,private dst,private src",org,887
,0,not blocked,2,WMIEXECUTE - DCERPC (Request),2399,,"private misc,private dst,private src",org,758
,0,not blocked,2,WMIEXECUTE - DCERPC (Request),2399,,"private misc,private dst,private src",org,761
,0,not blocked,2,WMIEXECUTE - DCERPC (Request),2399,,"private misc,private dst,private src",org,746
,,,2,Attempted to save Detection Rules settings.,300999,Success,"private misc,private src",,365
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,770
